168	56,239	161,159	136,85	16,286	96,131
169	114,185	59,251	12,119	199,18	134,250
170	6,24	117,200	167,121	32,200	52,48
171	63,214	17,47	165,1	9,93	27,62
172	157,223	189,260	52,230	61,99	54,210
173	125,271	111,204	115,167	149,190	12,62
174	12,266	152,128	139,81	34,226	14,103
175	119,264	45,284	113,86	120,116	72,12
176	107,25	172,281	54,166	90,187	58,202
177	1,236	60,269	183,245	62,22	183,218
178	119,197	86,19	81,35	155,101	173,62
179	50,3	30,163	169,285	28,181	115,86
180	24,23	162,71	96,218	67,268	177,194
181	115,187	103,178	167,223	108,228	10,276
182	92,3	19,120	68,35	184,267	127,84
183	70,144	25,205	27,14	62,264	142,100
184	111,52	188,116	163,153	77,245	146,153
185	15,147	131,213	153,112	169,92	31,129
186	108,16	60,47	183,95	151,18	184,17
187	121,258	69,24	127,181	122,103	133,73
188	40,106	64,114	3,202	199,164	188,138
189	148,3	40,227	83,175	169,89	193,127
190	67,279	28,263	131,13	28,181	132,31
191	197,194	28,277	171,169	112,49	2,6
192	13,124	91,123	84,251	114,263	108,223
193	131,115	35,115	78,286	74,136	68,152
194	134,180	124,127	11,255	121,152	169,80
195	45,133	14,42	56,61	49,190	45,181
196	113,125	30,108	73,241	94,245	119,155
197	70,164	35,19	135,36	179,179	147,36
198	171,183	130,30	66,157	94,68	144,157
199	66,209	40,118	167,126	125,27	13,22
200	101,78	97,172	145,156	67,47	77,146
