66	76,254	56,48	189,43	21,164	143,24	139,118
67	113,97	153,130	43,233	32,191	167,147	4,223
68	128,27	157,194	150,6	188,59	12,138	83,19
69	40,65	133,51	148,242	146,269	85,195	84,111
70	186,235	188,233	35,264	132,246	152,156	134,156
71	33,184	51,252	47,208	92,69	25,55	73,172
72	98,79	192,115	21,205	163,93	12,242	57,95
73	79,178	155,243	171,213	18,80	21,206	124,226
74	140,125	50,164	116,189	50,59	54,136	65,255
75	120,18	86,87	32,167	142,157	179,150	35,202
76	166,18	110,110	99,228	155,127	191,94	138,279
77	188,24	135,243	181,144	55,193	47,4	175,178
78	40,72	77,271	1,157	22,97	196,89	83,115
79	149,201	182,26	167,100	78,101	106,137	153,260
80	15,269	167,271	75,9	156,76	74,244	131,58
81	28,6	111,160	199,53	11,246	127,82	27,18
82	155,24	4,271	162,16	29,135	83,185	143,143
83	149,254	150,223	132,131	65,234	86,33	161,283
84	53,109	148,207	31,279	83,117	171,190	22,157
85	142,155	183,252	42,251	14,76	181,93	41,18
86	147,112	162,72	56,217	134,62	175,200	106,65
87	112,282	131,283	156,244	36,163	2,49	184,99
88	138,61	16,255	108,39	129,190	142,161	166,222
89	31,264	184,5	86,155	46,264	68,91	9,143
90	195,207	161,202	70,15	88,207	38,244	11,57
91	72,79	27,66	32,134	22,160	61,182	89,85
92	97,260	114,48	101,50	33,137	147,265	41,143
93	148,4	66,44	13,15	27,228	145,67	24,99
94	36,60	78,271	78,195	27,115	100,188	100,201
95	119,147	41,5	171,197	39,203	62,146	159,188
96	160,126	168,246	12,70	82,223	200,170	143,173
97	159,11	75,39	199,93	167,120	19,122	68,107
98	53,37	10,64	92,217	35,67	187,126	181,117
99	185,205	129,96	68,167	14,17	137,6	66,152
100	1,10	16,42	196,100	165,165	174,16	91,145
101	117,119	169,252	136,116	14,8	144,223	47,231
102	179,110	160,39	35,125	100,74	64,130	90,212
103	18,276	108,140	197,266	183,187	140,64	144,176
104	145,84	78,109	109,186	200,142	151,264	71,202
105	77,267	119,267	135,38	142,25	21,46	8,277
106	57,5	90,46	151,137	15,161	132,179	77,219
107	194,196	44,128	28,68	130,14	33,100	166,25
108	172,4	115,27	159,153	190,200	11,144	186,211
109	120,225	70,19	62,83	15,161	175,131	168,2
110	177,230	163,140	169,18	131,245	154,7	92,159
111	3,141	182,95	179,1	95,129	168,217	166,153
112	125,256	40,29	22,130	55,78	185,26	10,37
113	160,232	104,283	5,25	50,58	176,35	84,72
114	193,151	96,108	125,75	41,27	74,171	97,48
115	121,108	182,178	92,250	30,84	90,284	17,34
116	113,188	152,176	36,82	7,238	146,216	166,7
117	77,41	102,93	164,280	134,114	101,18	9,31
118	101,271	148,100	6,141	162,266	97,177	39,102
119	120,277	47,286	68,73	108,166	20,120	111,40
120	62,89	159,253	159,116	142,175	22,12	147,26
121	162,74	87,4	169,95	32,186	55,188	132,145
122	138,146	200,21	79,75	185,236	142,214	115,177
123	127,157	55,158	80,234	120,177	37,55	105,73
124	6,128	9,45	35,120	136,80	40,94	77,53
125	32,285	2,120	86,179	44,258	7,223	177,109
126	90,264	13,50	75,216	142,41	171,33	162,188
127	138,278	35,217	83,275	101,246	55,205	42,164
128	165,155	123,58	170,2	63,12	126,163	26,47
129	83,21	141,193	176,192	29,194	64,202	133,29
130	27,223	158,263	104,267	111,34	194,248	90,245
131	140,218	60,174	143,157	137,176	15,183	168,33
132	28,250	119,4	193,12	136,226	160,140	109,91
133	187,245	116,278	69,240	44,54	109,118	64,58
134	60,7	135,52	174,188	49,272	197,53	22,198
135	74,45	135,165	104,167	5,254	133,5	167,156
136	44,79	15,177	115,38	110,262	116,56	133,150
137	143,132	103,171	122,94	52,159	72,175	155,223
138	154,24	75,81	118,140	113,250	109,233	41,10
139	89,91	10,41	196,140	186,266	198,122	194,151
140	49,10	89,167	147,261	14,284	42,15	22,199
141	91,81	175,78	115,100	97,40	41,10	161,170
142	76,229	18,170	136,12	195,98	24,189	65,120
143	176,90	67,205	193,180	58,178	101,5	94,135
144	182,130	160,210	100,180	135,105	90,272	144,22
145	100,167	101,159	14,279	64,244	175,237	82,240
146	172,184	99,81	23,180	129,204	151,198	140,42
147	77,150	42,120	163,135	147,17	111,60	151,204
148	85,62	38,30	76,32	135,155	97,177	28,44
149	26,98	103,186	159,124	66,101	73,61	85,61
150	35,25	107,143	119,163	94,225	33,200	99,173
151	96,169	155,246	17,14	187,221	9,124	132,209
152	38,260	91,79	89,174	58,65	120,41	101,227
153	148,26	45,156	101,114	185,137	141,242	172,120
154	73,177	79,256	180,89	80,203	75,60	164,42
155	93,21	33,230	170,102	173,25	167,189	94,111
156	58,91	142,36	5,29	161,222	136,215	55,224
157	157,71	127,209	26,37	159,89	151,56	121,4
158	35,259	59,115	130,53	182,178	132,138	94,186
159	62,279	69,45	180,119	81,188	84,258	160,22
160	69,141	135,260	66,177	101,282	153,190	148,7
161	62,199	177,262	190,225	17,143	23,54	166,220
162	79,63	5,208	59,126	181,22	143,134	146,252
163	124,248	131,163	126,204	182,138	52,44	154,108
164	191,259	27,187	150,82	118,218	20,45	18,153
165	33,248	20,204	5,236	13,13	181,260	27,203
166	143,246	173,136	26,9	122,279	139,84	125,252
167	2,53	183,145	8,253	49,59	153,84	199,44
168	46,183	25,174	60,129	197,260	114,211	142,71
169	79,89	148,123	187,269	55,12	148,83	111,136
170	75,280	40,173	99,163	45,198	138,264	145,184
171	57,272	160,186	73,124	25,55	109,107	138,92
172	72,129	146,173	140,281	45,168	146,192	172,193
173	61,122	24,51	120,27	69,123	200,244	48,110
174	58,178	48,28	51,70	188,223	68,171	71,225
175	16,144	61,255	43,185	130,27	55,187	39,65
176	127,199	3,1	80,93	28,129	49,179	62,161
177	33,21	146,242	196,281	129,171	198,227	161,269
178	173,103	167,268	120,16	71,226	82,144	197,56
179	147,262	85,25	127,46	101,173	162,241	3,40
180	6,122	40,58	195,254	92,22	51,9	180,142
181	125,10	149,55	170,115	23,27	145,282	136,68
182	120,49	51,92	135,217	49,70	97,232	182,166
183	191,199	135,186	44,57	44,173	41,156	44,153
184	191,145	120,35	156,4	186,60	65,285	135,270
185	194,45	36,18	150,95	7,60	179,1	105,58
186	198,224	18,266	82,97	94,275	160,81	158,283
187	82,60	158,28	89,102	139,119	29,108	39,68
188	6,67	115,18	34,170	25,258	156,126	69,234
189	58,187	103,167	188,24	72,60	9,121	198,59
190	199,125	174,286	150,182	14,102	78,187	24,160
191	195,142	185,28	16,88	55,237	93,9	45,216
192	140,171	178,64	113,248	68,197	143,139	19,112
193	88,3	186,59	65,274	33,36	31,105	51,52
194	133,128	113,52	65,95	36,228	172,39	79,119
195	156,14	76,28	158,278	108,199	110,92	23,168
196	133,192	127,197	72,60	125,70	49,156	123,194
197	81,212	82,56	91,27	13,149	68,194	139,102
198	73,62	165,110	19,144	165,25	43,39	176,162
199	18,72	83,112	177,12	134,75	181,86	43,233
200	66,57	118,270	118,101	88,262	63,64	191,21
